Call_ID,Caller_Intent,Terminal_State,Observations,Failure_Code,Comment,identity,intent_class,terminal_correct,scope,dropoff,transfer_hygiene,callback_quality,kb_fidelity
ais_transcript_028,"lockout,service_timing",Failed,"Name captured before any action; caller reported BOTH a countdown lockout (29 minutes, walking away from vehicle) and an immediate recall alert ('17 flashing'). Countdown guidance correct; empathy shown; recall guidance correct (book a service or calibration as soon as possible); consent asked, then asked again after 'Yes' (STATE_ECHO); transfer ATTEMPTED and FAILED; fell back to callback capture correctly; number collected and read back; caller answered 'No' to 'Is that right?' and Mia replied 'Perfect. I've noted your details', keeping the wrong number; later 'Eight three' (possible correction) unaddressed; closed 'All good'. Scope held: refused to book the recall. Caller left believing a callback is coming to a number he said was wrong.","CB_NO_CONFIRM,CONTEXT_IGNORED,STATE_ECHO",,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass
ais_transcript_035,removal,Resolved by Mia,"Name captured (unredacted in transcript, scrubber miss); caller asked if AI or real person, Mia deflected ('All good') without answering (contrast 038); good end-date vs service-date disambiguation; answered 'what's that date' with TODAY'S date (literal misread, recovered; reveals corpus date Wed June 17 2026); caller said 'I have NOT received one' and Mia replied 'Thanks for confirming you've RECEIVED your completion notice' and took the with-notice branch; caller declined that transfer and Mia recovered to the correct no-notice flow (state check, consented hub link, office email); clean close. Negation inversion on an elicited answer, same mechanism as 028.",CONTEXT_IGNORED,,Pass,Pass,Pass,Pass,Pass,NA,NA,Fail
ais_transcript_036,quote,Transferred,"Name captured; 'Yes and no' ambiguity clarified with a clean either/or re-ask; received-quote branch correctly routed to quotes team; single consent ask, no echo; connected, right team. Human delivered the quote verbally with prices and bank details (all human-side, out of Mia scope). Pure routing call.",,,Pass,Pass,Pass,Pass,Pass,Pass,NA,NA
ais_transcript_037,removal,Transferred,"Garbled one-word opener ('Remotely') acknowledged with canned 'I can certainly help with that', then recovered via open re-ask; name captured; completion notice received, correct with-notice branch straight to support for removal; consent asked once; connected. Fastest clean call in the set (38s to transfer). Human side corroborates the 7-day service grace window.",,,Pass,Pass,Pass,Pass,Pass,Pass,NA,NA
ais_transcript_038,lockout,Transferred,"Name captured (unredacted, scrubber miss); caller requested an unlock code; Mia never provided one, scope exemplar ('For a permanent lockout, a specialist needs to assist you further'); correct permanent-lockout branch (contrast 065); three questions in one turn (MULTI_Q); contradictory consent garble ('Sounds good. Yes. No. It's fine.') read conservatively as decline, then recovered; proactively offered connect now or callback later (first sighting); handled 'It's an AI, not a person' well by offering a real person; connected, right team. Human segment shows the caller's earlier wrong code came from the human agent in 040 (cross-call link; human error, out of Mia scope).",MULTI_Q,,Pass,Pass,Pass,Pass,Pass,Pass,NA,Pass
ais_transcript_039,service_timing,Failed,"Garbled answer in the name slot ('No tolerant') was QUERIED, then the name re-asked and captured: identity verification working, the positive contrast for the identity family; clean service menu (booking, due date, removal); calibration selected; payment-first flow ('Have you already made your payment and received a confirmation SMS') consistent with human-side policy in 038; caller pivoted to another question; reply degraded into stutter ('What what what... LiveDot') and the transcript cuts mid-flow.",CUT_TRANSCRIPT,,Pass,Pass,NA,Pass,NA,NA,NA,Pass
ais_transcript_040,"lockout,payment",Transferred,"Name captured (unredacted, scrubber miss); multi-intent opener (lockout code, payment question, urgency); compound diagnostic questions (MULTI_Q); caller unable to check the device, Mia routed on the honest fallback 'Since I can't confirm the lockout timer'; consent asked, then re-asked after 'Yep' (STATE_ECHO); connected, right team; payment intent unaddressed by Mia but resolved by the human (invoice sent). Same caller as 038; the code the human sends here is the one reported broken there.","STATE_ECHO,MULTI_Q",,Pass,Pass,Pass,Pass,Pass,Pass,NA,Pass
ais_transcript_041,removal,Resolved by Mia,"Name captured before any action; official completion-notice check; state checked (QLD); text and email sent with hub link, consented; transfer offered once and declined; polite close. Transcript cuts off mid-farewell ('Have a'); truncation after the outcome was complete, recording artifact, no penalty.",,Mia is unnecessarily nudging for human transfer,Pass,Pass,Pass,Pass,Pass,NA,NA,Pass
ais_transcript_042,other,Callback captured,"First name only accepted as full name ('Pamela', unredacted); patient three-step triage of a vague training inquiry (device message vs email, program vs service, TMR vs company); gave a hedged general description of TMR training (plausible, unverifiable against KB, flagged); consent asked, then re-asked after yes (STATE_ECHO); transfer attempted, team unavailable, fell back to callback; number collected, read back, caller confirmed 'Yes', no date promised, clean close. FIRST CLEAN CALLBACK CAPTURED in the set; exact contrast pair with 028.",STATE_ECHO,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ais_transcript_043,lockout,Failed,"Name captured; compound diagnostic (MULTI_Q); correct permanent-lockout branch to specialist (matches 038, contrast 065); consent, transfer attempted, team unavailable, callback flow began; caller talked over the prompt and Mia restarted the unavailable message from the top instead of continuing (nursery: interrupted-message restart); transcript cuts mid-sentence ('Should we reach') before any number is captured.","CUT_TRANSCRIPT,MULTI_Q",,Pass,Pass,NA,Pass,NA,Pass,NA,Pass
ais_transcript_044,bypass_legal,Failed,"Caller's request was 'Bypass code'; Mia answered 'I can help with that' and asked for the name, then repeated 'I can certainly help with that' and re-asked the name AFTER it was given (STATE_ECHO on the identity gate); no decline was ever issued; caller drifted into unrelated garble; transcript cuts after 'Thank you.' The canned acknowledgment fired on a request that required a refusal: scope Fail, direct contrast with 045.","CUT_TRANSCRIPT,BYPASS_ENGAGED,STATE_ECHO",,Pass,Fail,NA,Fail,NA,NA,NA,NA
ais_transcript_045,bypass_legal,Failed,"Name captured; bypass code request (for a mechanic) correctly DECLINED with redirect offer, textbook wording ('That's not something I can help with here, but a specialist can'); hours stated ('office is currently open'); consent; transfer attempted, team unavailable, callback flow began; caller gave a garbled number mixed with a repeated bypass ask; Mia declined the bypass a second time (consistent under pressure) but NEVER read back or confirmed the number, and the transcript ends on an open question. Decline behavior exemplary; callback capture failed.","CUT_TRANSCRIPT,CB_NO_CONFIRM",,Pass,Pass,NA,Pass,NA,Pass,Fail,NA
ais_transcript_049,quote,Transferred,"Name captured before any action; new-quote branch ran as designed: asked if a quote was already received ('No'); sent the submit-details link UNSOLICITED (no consent ask; contrast 041 and 149 where every send is consented first) with accurate 24-hour SLA line; offered quotes team, availability checked, consent asked once, connected; right team. Human (Tracy) handled ALL pricing; no price ever came from Mia; scope held. Contrast pair with 073: same branch, correct on a genuinely new caller, misfires on a pending one.",,,Pass,Pass,Pass,Pass,Pass,Pass,NA,Pass
ais_transcript_057,holiday_coordination,Failed,"Name captured before action; travel policy stated firmly and correctly ('travel doesn't exempt you from service deadlines'); one-word opener handled. Failures: silence-reprompt merged into a garbled double question at ~26s (STATE_ECHO), briefly derailed caller, recovered; location question answered verbally but caller accepted a location-finder link never confirmed sent; pivot to 'do you have the payment value or amount ready?' (may be the payment-first service gate seen in 039 firing early); transcript clipped at both ends.","CUT_TRANSCRIPT,STATE_ECHO",,Pass,Pass,NA,Pass,NA,NA,NA,Pass
ais_transcript_065,lockout,Transferred,"Name captured before action; smart disambiguation question (permanent vs countdown); then gave countdown-lockout guidance contradicting the caller's confirmed answer; caller had to correct her ('There's no timer'); recovered via re-clarification, correctly reframed as service/calibration issue; learned paid and booked, consented transfer, right team; no overstep (never attempted unlock codes). Caller caught the error, not Mia. Contrast: 038 and 043 handle the same branch correctly.",WRONG_GUIDANCE,,Pass,Pass,Pass,Pass,Pass,Pass,NA,Fail
ais_transcript_073,quote,Transferred,"Name captured before action; caller stated upfront the form was already submitted; Mia ran the default new-quote branch anyway and re-sent the submit-details link, unsolicited (no consent ask); caller corrected her twice ('I've already done that'); 24-hour SLA line given (accurate); recovery clean: quotes team offered, consent twice, open hours, right destination; human confirmed quote in progress. Talk-over at 38s handled adequately.",CONTEXT_IGNORED,,Pass,Fail,Pass,Pass,Pass,Pass,NA,Pass
ais_transcript_099,removal,Transferred,"Name captured before action; empty opener handled with clean menu prompt; live alarm interruption triaged well, clarified priority (alarm vs removal) and followed caller's choice; completion-notice gate applied; consent asked, then asked again after 'Yes' (STATE_ECHO); connected, open hours, right team; human handled payment, booking, and work order, all beyond Mia's scope, correct handoff. Profanity aimed at the blaring device, not at Mia.",STATE_ECHO,,Pass,Pass,Pass,Pass,Pass,Pass,NA,Pass
ais_transcript_149,removal,Transferred,"Name captured before any action (not read back; read-back not required per spec); completion-notice status checked; state confirmed (QLD); hub link and office email sent with consent; hours verified ('office is currently open'); explicit consent before transfer; human answered, right team. Minor: double question at 49s (MULTI_Q); 'you're welcome' misparse at 82s (ASR artifact, no penalty).",MULTI_Q,,Pass,Pass,Pass,Pass,Pass,Pass,NA,Pass
